geolocation,question,location,response,value,lowConfidenceLimit,highConfidenceLimit,sampleSize,breakOut,breakOutCategory,questionID,locationID
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,TRUE,28.3,24.1,32.8,113,"$25,000 to $49,999",Income (years 2004 and beyond),QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,TRUE,31.4,26.1,37.2,84,"Less than $10,000",Income (years 2004 and beyond),QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,TRUE,42,38.3,45.8,284,"$50,000 or more",Income (years 2004 and beyond),QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,FALSE,61.3,58.5,64,704,Married,Marital Status,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,TRUE,38.7,36,41.5,472,Married,Marital Status,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,TRUE,24.2,21,27.8,142,Other,Marital Status,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,FALSE,75.8,72.2,79,437,Other,Marital Status,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,FALSE,80.6,72.6,86.7,95,<20 yrs,Maternal Age (3 Levels),QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,TRUE,27.6,24.7,30.6,239,20-29 yrs,Maternal Age (3 Levels),QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,TRUE,19.4,13.3,27.4,22,<20 yrs,Maternal Age (3 Levels),QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,FALSE,72.4,69.4,75.3,588,20-29 yrs,Maternal Age (3 Levels),QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,TRUE,42.8,39.4,46.2,353,30+ yrs,Maternal Age (3 Levels),QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,FALSE,57.2,53.8,60.6,458,30+ yrs,Maternal Age (3 Levels),QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,FALSE,66.6,63.5,69.5,603,25-34 yrs,Maternal Age (4 Levels),QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,FALSE,80.6,72.6,86.7,95,<20 yrs,Maternal Age (4 Levels),QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,FALSE,51.3,46.1,56.4,188,35+ yrs,Maternal Age (4 Levels),QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,TRUE,19.4,13.3,27.4,22,<20 yrs,Maternal Age (4 Levels),QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,TRUE,33.4,30.5,36.5,317,25-34 yrs,Maternal Age (4 Levels),QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,TRUE,25,20.8,29.7,89,20-24 yrs,Maternal Age (4 Levels),QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,FALSE,75,70.3,79.2,255,20-24 yrs,Maternal Age (4 Levels),QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,TRUE,48.7,43.6,53.9,186,35+ yrs,Maternal Age (4 Levels),QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,TRUE,24.4,20.7,28.5,110,Age 18 - 24,Maternal Age - 18 to 44 years in groupings,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,TRUE,30.7,27.1,34.5,185,Age 25 - 29,Maternal Age - 18 to 44 years in groupings,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,FALSE,75.6,71.5,79.3,330,Age 18 - 24,Maternal Age - 18 to 44 years in groupings,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,FALSE,69.3,65.5,72.9,392,Age 25 - 29,Maternal Age - 18 to 44 years in groupings,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,TRUE,43.6,40,47.3,317,Age 30 - 44,Maternal Age - 18 to 44 years in groupings,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,FALSE,56.4,52.7,60,398,Age 30 - 44,Maternal Age - 18 to 44 years in groupings,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,TRUE,33.7,31.6,35.9,612,Age 18 - 44,Maternal Age - 18 to 44 years only,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,FALSE,66.3,64.1,68.4,1120,Age 18 - 44,Maternal Age - 18 to 44 years only,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,TRUE,27.8,20.5,36.6,32,< 12 yrs,Maternal Education,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,FALSE,72.2,63.4,79.5,79,< 12 yrs,Maternal Education,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,TRUE,25.7,22.4,29.3,155,12 yrs,Maternal Education,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,TRUE,40.1,37.1,43.1,421,>12 yrs,Maternal Education,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,FALSE,59.9,56.9,62.9,612,>12 yrs,Maternal Education,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,FALSE,74.3,70.7,77.6,430,12 yrs,Maternal Education,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,FALSE,57.8,52.5,62.9,183,"White, non-Hispanic",Maternal Race/Ethnicity,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,TRUE,42.2,37.1,47.5,134,"White, non-Hispanic",Maternal Race/Ethnicity,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,TRUE,23.5,18.7,29,59,Hispanic,Maternal Race/Ethnicity,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,TRUE,33.7,31.1,36.5,420,Other non-Hispanic,Maternal Race/Ethnicity,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,FALSE,66.3,63.5,68.9,750,Other non-Hispanic,Maternal Race/Ethnicity,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,FALSE,76.5,71,81.3,185,Hispanic,Maternal Race/Ethnicity,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,FALSE,62.8,60,65.5,710,Non-Medicaid,Medicaid Recipient,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,FALSE,73,69.3,76.3,431,Medicaid,Medicaid Recipient,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,TRUE,27,23.7,30.7,165,Medicaid,Medicaid Recipient,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,TRUE,37.2,34.5,40,449,Non-Medicaid,Medicaid Recipient,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,FALSE,64.9,62.5,67.3,956,Non-Hispanic,Mother Hispanic,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,TRUE,35.1,32.7,37.5,555,Non-Hispanic,Mother Hispanic,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,TRUE,23.5,18.7,29,59,Hispanic,Mother Hispanic,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,FALSE,76.5,71,81.3,185,Hispanic,Mother Hispanic,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,TRUE,33.3,31.2,35.5,614,None,None,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,FALSE,66.7,64.5,68.8,1141,None,None,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,TRUE,34.7,31.4,38.2,268,0,Number of Previous Live Births,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,FALSE,67.7,64.8,70.4,676,1 or more,Number of Previous Live Births,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,FALSE,65.3,61.8,68.6,465,0,Number of Previous Live Births,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,TRUE,32.3,29.6,35.2,346,1 or more,Number of Previous Live Births,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,FALSE,62.7,59.8,65.6,639,Non-WIC,On WIC during Pregnancy,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,TRUE,37.3,34.4,40.2,408,Non-WIC,On WIC during Pregnancy,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,FALSE,72.4,69,75.6,487,WIC,On WIC during Pregnancy,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,TRUE,27.6,24.4,31,190,WIC,On WIC during Pregnancy,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,TRUE,39.4,36.4,42.4,409,Intended,Pregnancy Intendedness,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,FALSE,60.6,57.6,63.6,578,Intended,Pregnancy Intendedness,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,FALSE,74.9,71.6,77.9,528,Unintended,Pregnancy Intendedness,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,TRUE,25.1,22.1,28.4,184,Unintended,Pregnancy Intendedness,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,TRUE,36.2,33.7,38.7,537,Non-Smoker,Smoked 3 months before Pregnancy,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,TRUE,22,17.7,27,65,Smoker,Smoked 3 months before Pregnancy,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,FALSE,78,73,82.3,230,Smoker,Smoked 3 months before Pregnancy,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,FALSE,63.8,61.3,66.3,882,Non-Smoker,Smoked 3 months before Pregnancy,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,FALSE,65.7,63.3,67.9,1014,Non-Smoker,Smoked last 3 months of Pregnancy,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,TRUE,34.3,32.1,36.7,573,Non-Smoker,Smoked last 3 months of Pregnancy,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,TRUE,24.2,17.6,32.4,29,Smoker,Smoked last 3 months of Pregnancy,QUO65,15
"(21.304850435, -157.857749403)",Multivitamin?,Hawaii,FALSE,75.8,67.6,82.4,98,Smoker,Smoked last 3 months of Pregnancy,QUO65,15
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,22.2,19.4,25.4,257,Adequate PNC,Adequacy of Prenatal care,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,21,15.1,28.3,49,Intermediate PNC,Adequacy of Prenatal care,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,79,71.7,84.9,185,Intermediate PNC,Adequacy of Prenatal care,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,89.9,73.3,96.6,52,Inadequate PNC,Adequacy of Prenatal care,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,10.1,3.4,26.7,7,Inadequate PNC,Adequacy of Prenatal care,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,77.8,74.6,80.6,879,Adequate PNC,Adequacy of Prenatal care,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,80.6,77.4,83.5,560,LBW (<=2500g),Birth Weight,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,21.8,18.9,24.9,165,NBW (>2500g),Birth Weight,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,78.2,75.1,81.1,566,NBW (>2500g),Birth Weight,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,19.4,16.5,22.6,148,LBW (<=2500g),Birth Weight,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,19,14.6,24.3,70,"$10,000 to $24,999",Income (years 2004 and beyond),QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,82.3,76,87.2,207,"$25,000 to $49,999",Income (years 2004 and beyond),QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,36.7,29.6,44.4,84,"$50,000 or more",Income (years 2004 and beyond),QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,17.7,12.8,24,50,"$25,000 to $49,999",Income (years 2004 and beyond),QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,63.3,55.6,70.4,129,"$50,000 or more",Income (years 2004 and beyond),QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,81.4,76,85.8,361,"Less than $10,000",Income (years 2004 and beyond),QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,18.6,14.2,24,80,"Less than $10,000",Income (years 2004 and beyond),QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,81,75.7,85.4,339,"$10,000 to $24,999",Income (years 2004 and beyond),QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,82.7,79,85.9,686,Other,Marital Status,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,27.1,23.1,31.5,172,Married,Marital Status,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,17.3,14.1,21,141,Other,Marital Status,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,72.9,68.5,76.9,440,Married,Marital Status,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,18.7,13.2,25.8,39,<20 yrs,Maternal Age (3 Levels),QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,66,59.1,72.3,212,30+ yrs,Maternal Age (3 Levels),QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,34,27.7,40.9,108,30+ yrs,Maternal Age (3 Levels),QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,81.9,78.5,84.8,699,20-29 yrs,Maternal Age (3 Levels),QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,81.3,74.2,86.8,215,<20 yrs,Maternal Age (3 Levels),QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,18.1,15.2,21.5,166,20-29 yrs,Maternal Age (3 Levels),QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,74.2,69.7,78.3,430,25-34 yrs,Maternal Age (4 Levels),QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,76.3,64.5,85.1,75,35+ yrs,Maternal Age (4 Levels),QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,23.7,14.9,35.5,28,35+ yrs,Maternal Age (4 Levels),QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,81.3,74.2,86.8,215,<20 yrs,Maternal Age (4 Levels),QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,16.9,13,21.6,83,20-24 yrs,Maternal Age (4 Levels),QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,83.1,78.4,87,406,20-24 yrs,Maternal Age (4 Levels),QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,18.7,13.2,25.8,39,<20 yrs,Maternal Age (4 Levels),QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,25.8,21.7,30.3,163,25-34 yrs,Maternal Age (4 Levels),QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,82.7,78.6,86.1,544,Age 18 - 24,Maternal Age - 18 to 44 years in groupings,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,78.6,73.7,82.8,331,Age 25 - 29,Maternal Age - 18 to 44 years in groupings,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,33.9,26.9,41.7,85,Age 30 - 44,Maternal Age - 18 to 44 years in groupings,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,17.3,13.9,21.4,110,Age 18 - 24,Maternal Age - 18 to 44 years in groupings,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,66.1,58.3,73.1,173,Age 30 - 44,Maternal Age - 18 to 44 years in groupings,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,18.6,10.1,31.6,12,Age < 18,Maternal Age - 18 to 44 years in groupings,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,81.4,68.4,89.9,77,Age < 18,Maternal Age - 18 to 44 years in groupings,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,21.4,17.2,26.3,106,Age 25 - 29,Maternal Age - 18 to 44 years in groupings,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,21.7,19,24.6,301,Age 18 - 44,Maternal Age - 18 to 44 years only,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,78.3,75.4,81,1048,Age 18 - 44,Maternal Age - 18 to 44 years only,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,75.8,71.5,79.6,471,>12 yrs,Maternal Education,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,24.2,20.4,28.5,156,>12 yrs,Maternal Education,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,18.5,13.8,24.3,62,< 12 yrs,Maternal Education,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,20.1,15.7,25.3,94,12 yrs,Maternal Education,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,79.9,74.7,84.3,365,12 yrs,Maternal Education,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,81.5,75.7,86.2,287,< 12 yrs,Maternal Education,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,21.4,18,25.2,150,"White, non-Hispanic",Maternal Race/Ethnicity,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,79.1,74.8,82.8,612,"Black, non-Hispanic",Maternal Race/Ethnicity,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,20.9,17.2,25.2,154,"Black, non-Hispanic",Maternal Race/Ethnicity,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,78.6,74.8,82,498,"White, non-Hispanic",Maternal Race/Ethnicity,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,67.2,61.4,72.5,246,Non-Medicaid,Medicaid Recipient,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,32.8,27.5,38.6,128,Non-Medicaid,Medicaid Recipient,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,17.3,14.5,20.4,185,Medicaid,Medicaid Recipient,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,82.7,79.6,85.5,880,Medicaid,Medicaid Recipient,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,78.8,76,81.3,1122,Non-Hispanic,Mother Hispanic,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,21.2,18.7,24,310,Non-Hispanic,Mother Hispanic,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,78.5,75.7,81,1126,None,None,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,21.5,19,24.3,313,None,None,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,24.6,20.6,29.1,153,0,Number of Previous Live Births,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,19.4,16.1,23,160,1 or more,Number of Previous Live Births,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,75.4,70.9,79.4,487,0,Number of Previous Live Births,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,80.6,77,83.9,639,1 or more,Number of Previous Live Births,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,73.9,68.7,78.4,329,Non-WIC,On WIC during Pregnancy,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,19.2,16.2,22.6,184,WIC,On WIC during Pregnancy,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,26.1,21.6,31.3,125,Non-WIC,On WIC during Pregnancy,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,80.8,77.4,83.8,788,WIC,On WIC during Pregnancy,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,71.3,66.6,75.5,398,Intended,Pregnancy Intendedness,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,16.5,13.5,20,136,Unintended,Pregnancy Intendedness,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,83.5,80,86.5,707,Unintended,Pregnancy Intendedness,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,28.7,24.5,33.4,175,Intended,Pregnancy Intendedness,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,23.3,20.2,26.6,244,Non-Smoker,Smoked 3 months before Pregnancy,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,84.4,79.1,88.5,303,Smoker,Smoked 3 months before Pregnancy,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,76.7,73.4,79.8,811,Non-Smoker,Smoked 3 months before Pregnancy,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,15.6,11.5,20.9,62,Smoker,Smoked 3 months before Pregnancy,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,22.8,20,25.9,274,Non-Smoker,Smoked last 3 months of Pregnancy,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,77.2,74.1,80,924,Non-Smoker,Smoked last 3 months of Pregnancy,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,FALSE,85.9,78.9,90.8,189,Smoker,Smoked last 3 months of Pregnancy,QUO65,28
"(32.745510099, -89.538030825)",Multivitamin?,Mississippi,TRUE,14.1,9.2,21.1,36,Smoker,Smoked last 3 months of Pregnancy,QUO65,28
"(32.839681093, -83.627580346)",Multivitamin?,Georgia,TRUE,26.7,20.2,34.4,99,Adequate PNC,Adequacy of Prenatal care,QUO65,13
"(32.839681093, -83.627580346)",Multivitamin?,Georgia,TRUE,19.8,7.2,44,11,Inadequate PNC,Adequacy of Prenatal care,QUO65,13
"(32.839681093, -83.627580346)",Multivitamin?,Georgia,FALSE,75.4,69.2,80.7,335,Unknown PNC,Adequacy of Prenatal care,QUO65,13
"(32.839681093, -83.627580346)",Multivitamin?,Georgia,FALSE,79.8,68,88,125,Intermediate PNC,Adequacy of Prenatal care,QUO65,13
"(32.839681093, -83.627580346)",Multivitamin?,Georgia,TRUE,20.2,12,32,33,Intermediate PNC,Adequacy of Prenatal care,QUO65,13
"(32.839681093, -83.627580346)",Multivitamin?,Georgia,TRUE,24.6,19.3,30.8,117,Unknown PNC,Adequacy of Prenatal care,QUO65,13
"(32.839681093, -83.627580346)",Multivitamin?,Georgia,FALSE,80.2,56,92.8,51,Inadequate PNC,Adequacy of Prenatal care,QUO65,13
"(32.839681093, -83.627580346)",Multivitamin?,Georgia,FALSE,73.3,65.6,79.8,250,Adequate PNC,Adequacy of Prenatal care,QUO65,13
"(32.839681093, -83.627580346)",Multivitamin?,Georgia,FALSE,74.2,69.5,78.4,443,LBW (<=2500g),Birth Weight,QUO65,13
"(32.839681093, -83.627580346)",Multivitamin?,Georgia,FALSE,75.7,71.1,79.8,287,NBW (>2500g),Birth Weight,QUO65,13
"(32.839681093, -83.627580346)",Multivitamin?,Georgia,TRUE,24.3,20.2,28.9,94,NBW (>2500g),Birth Weight,QUO65,13
"(32.839681093, -83.627580346)",Multivitamin?,Georgia,TRUE,25.8,21.6,30.5,151,LBW (<=2500g),Birth Weight,QUO65,13
"(32.839681093, -83.627580346)",Multivitamin?,Georgia,TRUE,22.6,14,34.4,29,"$25,000 to $49,999",Income (years 2004 and beyond),QUO65,13
